1,372615
2,378880
3,386200
4,391365
5,394530
6,405995
7,409045
8,409840
9,398720
10,389160
11,383870
12,387115
13,379935
14,382570
15,388205
16,401310
17,400230
18,410695
19,425710
20,441415
21,446890
22,444890
23,451225
24,458275
25,466385
26,468045
27,453440
28,445995
29,452130
30,464495
31,465690
32,467060
33,465970
34,466185
35,468365
36,464320
37,454795
38,449660
39,451230
40,453015
41,453240
42,444865
43,447400
44,456615
45,476130
46,473880
47,468970
48,466875
49,474120
50,502935
51,536300
52,549525
53,551805
54,537515
55,544015
56,534055
57,522185
58,516785
59,503205
60,488500
61,481820
62,460355
63,438470
64,421370
65,411715
66,399990
67,390340
68,388055
69,382385
70,316835
71,297530
72,287500
73,271495
74,247515
75,234020
76,215135
77,204155
78,191070
79,177470
80,171180
81,158110
82,147295
83,141415
84,131645
85,121575
86,108495
87,94410
88,85150
89,72890
90,63485
91,52875
92,43720
93,35005
94,28430
95,20980
96,14855
97,9485
98,6705
99,4495
